7	1165	1	1
8	1685	1	1
10	1130	1	1
10	1200	1	1
10	1862	1	1
12	1866	1	1
14	1692	1	1
19	1899	1	1
20	1244	1	1
24	1030	1	1
25	1846	1	1
27	897	1	1
43	1129	1	1
48	720	1	1
50	902	1	1
58	872	1	1
58	1017	1	1
58	1038	1	1
60	891	1	1
60	905	1	1
62	843	1	1
62	1402	1	1
64	1871	1	1
69	1137	1	1
92	931	1	1
93	1159	1	1
93	1234	1	1
95	1165	1	1
96	951	1	1
101	757	1	1
102	806	1	1
109	996	1	1
110	1166	1	1
110	1866	1	1
110	1867	1	1
114	1025	1	1
120	929	1	1
120	1030	1	1
120	1034	1	1
121	1320	1	1
121	1564	1	1
122	775	1	1
122	781	1	1
122	1028	1	1
132	816	1	1
138	1088	1	1
140	903	1	1
141	916	1	1
144	1129	1	1
148	931	1	1
148	964	1	1
154	1074	1	1
159	1142	1	1
164	893	1	1
165	1068	1	1
170	1102	1	1
172	914	1	1
172	948	1	1
174	1036	1	1
176	751	1	1
176	1109	1	1
183	1863	1	1
183	1866	1	1
194	1102	1	1
199	1562	1	1
202	951	1	1
202	1066	1	1
203	781	1	1
210	1484	1	1
217	1147	1	1
225	1030	1	1
225	1137	1	1
228	1142	1	1
230	851	1	1
233	858	1	1
243	940	1	1
244	858	1	1
245	1034	1	1
252	756	1	1
257	1102	1	1
262	1619	1	1
268	1201	1	1
281	893	1	1
286	987	1	1
289	873	1	1
289	964	1	1
291	1176	1	1
292	1695	1	1
299	1130	1	1
299	1860	1	1
302	720	1	1
306	981	1	1
306	1010	1	1
306	1690	1	1
310	1863	1	1
312	996	1	1
315	891	1	1
321	891	1	1
327	858	1	1
329	873	1	1
329	1017	1	1
329	1038	1	1
329	1142	1	1
332	807	1	1
332	1130	1	1
333	1836	1	1
334	1027	1	1
338	1130	1	1
341	816	1	1
367	1010	1	1
367	1686	1	1
368	858	1	1
371	1034	1	1
380	718	1	1
381	1690	1	1
382	1220	1	1
384	786	1	1
388	1129	1	1
388	1866	1	1
389	2066	1	1
392	847	1	1
396	1166	1	1
396	1688	1	1
396	1865	1	1
396	1866	1	1
397	954	1	1
397	964	1	1
398	1066	1	1
400	949	1	1
407	768	1	1
420	997	1	1
425	951	1	1
429	1707	1	1
431	1030	1	1
433	1882	1	1
442	951	1	1
444	949	1	1
444	996	1	1
454	873	1	1
454	971	1	1
454	1082	1	1
477	786	1	1
491	858	1	1
499	949	1	1
502	741	1	1
502	1342	1	1
506	757	1	1
529	753	1	1
529	1017	1	1
530	852	1	1
539	1898	1	1
544	1137	1	1
546	946	1	1
546	2073	1	1
550	1695	1	1
553	891	1	1
553	950	1	1
553	1126	1	1
554	823	1	1
561	996	1	1
569	734	1	1
571	897	1	1
573	1070	1	1
581	981	1	1
588	1034	1	1
588	1038	1	1
593	1019	1	1
597	929	1	1
597	1036	1	1
597	1142	1	1
600	1133	1	1
606	806	1	1
610	756	1	1
613	926	1	1
616	1034	1	1
616	1115	1	1
624	1034	1	1
630	1266	1	1
631	1189	1	1
634	1203	1	1
637	821	1	1
637	966	1	1
640	1023	1	1
641	1102	1	1
650	734	1	1
655	846	1	1
658	827	1	1
661	820	1	1
668	1166	1	1
668	1864	1	1
668	1866	1	1
669	902	1	1
671	734	1	1
672	1166	1	1
690	1443	1	1
702	781	1	1
703	996	1	1
704	1066	1	1
